"Full Yearly Schedule"
" "
"Round","Type","Date","Course","Side","4:45 PM","4:45 PM","4:45 PM","4:45 PM","4:45 PM","4:45 PM","4:45 PM","4:45 PM"
"","","","","Front 9 Hole:","1","2","3","4","5","6","7","8"
"","","","","Back 9 Hole:","10","11","12","13","14","15","16","17"
"1","Position","4/25/2024","Quarry Golf Club","Back","11 v 1","16 v 2","15 v 3","8 v 4","12 v 5","7 v 6","9 v 13","14 v 10"
"2","Normal","5/2/2024","Quarry Golf Club","Front","6 v 3","7 v 2","11 v 10","13 v 9","8 v 4","16 v 15","14 v 12","5 v 1"
"3","Normal","5/16/2024","Quarry Golf Club","Front","14 v 13","2 v 1","11 v 5","16 v 4","10 v 3","15 v 9","8 v 7","12 v 6"
"4","Normal","5/23/2024","Quarry Golf Club","Back","14 v 5","16 v 8","7 v 6","4 v 1","9 v 2","12 v 10","13 v 3","15 v 11"
"5","Normal","5/30/2024","Quarry Golf Club","Front","9 v 4","11 v 2","15 v 14","10 v 6","5 v 3","8 v 1","16 v 7","13 v 12"
"6","Normal","6/6/2024","Quarry Golf Club","Back","9 v 8","13 v 10","12 v 5","7 v 1","14 v 2","15 v 3","16 v 6","11 v 4"
"7","Normal","6/13/2024","Quarry Golf Club","Front","3 v 2","15 v 12","10 v 5","11 v 8","14 v 4","9 v 7","13 v 6","16 v 1"
"8","Normal","6/20/2024","Quarry Golf Club","Back","14 v 8","11 v 7","16 v 9","4 v 3","12 v 2","15 v 10","13 v 5","6 v 1"
"9","Fun Night","6/27/2024","Quarry Golf Club","Front","15 v 7","16 v 13","10 v 9","12 v 4","3 v 11","14 v 1","2 v 8","5 v 6"
"10","Normal","7/11/2024","Quarry Golf Club","Front","6 v 5","12 v 4","14 v 7","15 v 13","16 v 11","10 v 2","9 v 1","8 v 3"
"11","Normal","7/18/2024","Quarry Golf Club","Back","11 v 1","12 v 8","16 v 14","10 v 4","9 v 6","15 v 5","7 v 3","13 v 2"
"12","Normal","7/25/2024","Quarry Golf Club","Front","16 v 3","15 v 6","13 v 4","10 v 8","12 v 7","5 v 2","14 v 1","11 v 9"
"13","Normal","8/1/2024","Quarry Golf Club","Back","10 v 7","13 v 8","15 v 2","3 v 1","11 v 6","16 v 12","14 v 9","5 v 4"
"14","Normal","8/8/2024","Quarry Golf Club","Front","14 v 11","9 v 3","15 v 4","6 v 2","12 v 1","8 v 5","13 v 7","16 v 10"
"15","Normal","8/15/2024","Quarry Golf Club","Back","16 v 13","10 v 1","12 v 9","7 v 5","14 v 6","4 v 2","15 v 8","11 v 3"
"16","Normal","8/22/2024","Quarry Golf Club","Front","13 v 1","16 v 5","12 v 11","15 v 7","10 v 9","14 v 3","6 v 4","8 v 2"
"17","Normal","8/29/2024","Quarry Golf Club","Back","12 v 3","15 v 1","8 v 6","16 v 2","9 v 5","13 v 11","7 v 4","14 v 10"
"18","Fun Night","9/5/2024","Quarry Golf Club","Front","15 v 16","12 v 7","9 v 5","13 v 11","1 v 14","10 v 3","4 v 6","8 v 2"
"End of Segment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","Position","9/12/2024","Quarry Golf Club","Front","14 v 7","","","","","","",""
"20","Normal","9/14/2024","Schedule not set","","","","","","","","",""
"21","Normal","9/14/2024","Schedule not set","","","","","","","","",""
