"Full Yearly Schedule"
" "
"Round","Type","Date","Course","Side","Group 1","Group 2","Group 3","Group 4","Group 5","Group 6","Group 7","Group 8"
"","","","","Front 9 Hole:","1","2","3","4","5","6","7","8"
"","","","","Back 9 Hole:","10","11","12","13","14","15","16","17"
"1","Fun Night","4/30/2026","Quarry Golf Club","Front","13 v 2","11 v 10","12 v 3","9 v 8","4 v 5","7 v 1","6 v 15","16 v 14"
"2","Normal","5/7/2026","Quarry Golf Club","Back","12 v 2","11 v 6","15 v 3","16 v 8","10 v 7","13 v 9","4 v 1","14 v 5"
"3","Normal","5/14/2026","Quarry Golf Club","Front","12 v 6","11 v 3","7 v 2","16 v 14","13 v 1","9 v 5","15 v 8","10 v 4"
"4","Normal","5/21/2026","Quarry Golf Club","Back","16 v 5","11 v 8","15 v 14","9 v 1","4 v 2","7 v 6","12 v 3","13 v 10"
"5","Normal","5/28/2026","Quarry Golf Club","Front","14 v 11","5 v 1","13 v 2","12 v 8","7 v 3","10 v 9","6 v 4","16 v 15"
"6","Normal","6/4/2026","Quarry Golf Club","Back","16 v 11","8 v 7","9 v 2","15 v 5","13 v 6","10 v 1","14 v 12","4 v 3"
"7","Normal","6/11/2026","Quarry Golf Club","Front","10 v 5","9 v 6","15 v 11","14 v 7","16 v 12","13 v 3","2 v 1","8 v 4"
"8","Normal","6/18/2026","Quarry Golf Club","Back","13 v 8","10 v 2","11 v 5","6 v 1","16 v 7","15 v 12","9 v 3","14 v 4"
"9","Normal","6/25/2026","Quarry Golf Club","Front","15 v 7","14 v 13","12 v 11","5 v 2","10 v 6","16 v 4","9 v 8","3 v 1"
"10","Fun Night","7/2/2026","Quarry Golf Club","Back","16 v 1","9 v 3","5 v 14","2 v 4","10 v 6","12 v 8","7 v 15","13 v 11"
"11","Normal","7/9/2026","Quarry Golf Club","Front","6 v 2","16 v 13","12 v 5","10 v 3","15 v 4","14 v 9","11 v 7","8 v 1"
"12","Normal","7/16/2026","Quarry Golf Club","Back","3 v 2","15 v 13","12 v 7","11 v 4","16 v 9","14 v 1","10 v 8","6 v 5"
"13","Normal","7/23/2026","Quarry Golf Club","Front","16 v 1","7 v 5","12 v 4","14 v 10","8 v 2","13 v 11","6 v 3","15 v 9"
"14","Normal","7/30/2026","Quarry Golf Club","Back","14 v 2","16 v 10","8 v 6","15 v 1","11 v 9","7 v 4","5 v 3","13 v 12"
"15","Normal","8/6/2026","Quarry Golf Club","Front","14 v 6","13 v 7","5 v 4","12 v 9","8 v 3","15 v 10","11 v 1","16 v 2"
"16","Normal","8/13/2026","Quarry Golf Club","Back","9 v 7","11 v 10","12 v 1","15 v 2","8 v 5","16 v 6","14 v 3","13 v 4"
"17","Normal","8/20/2026","Quarry Golf Club","Front","16 v 3","15 v 6","11 v 2","14 v 8","9 v 4","7 v 1","13 v 5","12 v 10"
"18","Fun Night","8/27/2026","Quarry Golf Club","Back","","","","","","","",""
"End of Segment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","Fun Night","9/19/2026","Quarry Golf Club","Front","","","","","","","",""
"20","Fun Night","9/19/2026","Quarry Golf Club","Back","","","","","","","",""
