"Full Yearly Schedule"
" "
"Round","Type","Date","Course","Side","4:45 PM","4:45 PM","4:45 PM","4:45 PM","4:45 PM","4:45 PM","4:45 PM","4:45 PM"
"","","","","Front 9 Hole:","1","2","3","4","5","6","7","8"
"","","","","Back 9 Hole:","10","11","12","13","14","15","16","17"
"1","Fun Night","5/5/2022","Quarry Golf Club","Back","10 v 14","12 v 16","2 v 5","7 v 3","13 v 11","8 v 6","9 v 4","1 v 15"
"2","Normal","5/12/2022","Quarry Golf Club","Front","9 v 2","7 v 11","3 v 16","8 v 13","12 v 5","15 v 10","4 v 14","1 v 6"
"3","Normal","5/19/2022","Quarry Golf Club","Back","4 v 6","11 v 2","1 v 9","7 v 16","3 v 13","8 v 5","12 v 10","15 v 14"
"4","Normal","5/26/2022","Quarry Golf Club","Front","15 v 6","1 v 4","16 v 2","11 v 9","7 v 13","3 v 5","8 v 10","12 v 14"
"5","Normal","6/2/2022","Quarry Golf Club","Back","8 v 14","12 v 6","15 v 4","13 v 2","16 v 9","1 v 11","7 v 5","3 v 10"
"6","Normal","6/9/2022","Quarry Golf Club","Front","3 v 14","8 v 6","12 v 4","1 v 15","5 v 2","13 v 9","16 v 11","7 v 10"
"7","Normal","6/16/2022","Quarry Golf Club","Back","1 v 16","7 v 14","3 v 6","8 v 4","12 v 15","10 v 2","5 v 9","13 v 11"
"8","Normal","6/23/2022","Quarry Golf Club","Front","5 v 11","13 v 16","7 v 6","3 v 4","8 v 15","1 v 12","14 v 2","10 v 9"
"9","Normal","6/30/2022","Quarry Golf Club","Back","14 v 9","10 v 11","5 v 16","1 v 13","7 v 4","3 v 15","8 v 12","6 v 2"
"10","Fun Night","7/7/2022","Quarry Golf Club","Front","16 v 12","13 v 3","2 v 7","8 v 9","1 v 10","5 v 15","6 v 11","14 v 4"
"11","Normal","7/14/2022","Quarry Golf Club","Back","4 v 2","6 v 9","14 v 11","10 v 16","5 v 13","7 v 15","3 v 12","1 v 8"
"12","Normal","7/21/2022","Quarry Golf Club","Front","3 v 8","15 v 2","4 v 9","6 v 11","14 v 16","10 v 13","1 v 5","7 v 12"
"13","Normal","7/28/2022","Quarry Golf Club","Back","7 v 8","1 v 3","12 v 2","15 v 9","4 v 11","6 v 16","14 v 13","10 v 5"
"14","Normal","8/11/2022","Quarry Golf Club","Back","14 v 5","1 v 10","7 v 3","8 v 2","12 v 9","15 v 11","4 v 16","6 v 13"
"15","Normal","8/18/2022","Quarry Golf Club","Front","4 v 13","6 v 5","14 v 10","1 v 7","3 v 2","8 v 9","12 v 11","15 v 16"
"16","Normal","8/25/2022","Quarry Golf Club","Back","12 v 16","15 v 13","4 v 5","6 v 10","1 v 14","7 v 2","3 v 9","8 v 11"
"17","Normal","9/1/2022","Quarry Golf Club","Front","3 v 11","8 v 16","12 v 13","15 v 5","4 v 10","6 v 14","1 v 2","7 v 9"
"18","Fun Night","9/8/2022","Quarry Golf Club","Back","","","","","","","",""
"19","Normal","9/15/2022","Quarry Golf Club","Front","12 v 3","","","","","","",""
